Country,FI,SW,DA,NO,EN,GE,DU,FL,FR,IT,SP,PO
Germany,0,0,0,0,21,100,2,1,10,2,1,0
Italy,0,0,0,0,5,3,0,0,11,100,1,0
France,0,2,3,0,10,7,1,1,100,12,7,1
Netherlands,0,0,0,0,41,47,100,100,16,2,2,0
Belgium,0,0,0,0,14,15,0,59,44,2,1,0
Luxemburg,0,0,0,0,31,100,4,1,92,10,0,0
UK,0,0,0,0,100,7,0,0,15,3,2,0
Portugal,0,0,0,0,9,0,0,0,10,1,2,100
Austria,0,0,0,0,18,100,1,1,4,2,1,0
Switzerland,0,0,0,0,21,83,1,2,64,23,3,1
Sweden,5,100,10,11,43,25,0,0,6,1,1,0
Denmark,0,22,100,20,38,36,1,1,10,3,1,0
Norway,0,25,19,100,34,19,0,0,4,1,0,1
Finland,100,23,0,0,12,11,0,0,2,1,0,0
Spain,0,0,0,0,5,1,0,0,11,2,100,0
Ireland,0,0,0,0,100,1,0,0,2,0,0,0
